handle,niche
TechnicalGuruji,Tech
TrakinTech,Tech
GeekyRanjit,Tech
TechBurner,Tech
Technoruhez,Tech
c4etech,Tech
BeebomCo,Tech
CarryisLive,Gaming
TechnoGamerzOfficial,Gaming
TotalGaming093,Gaming
SoulMortal,Gaming
GamerFleet,Gaming
Mythpat,Gaming
8bitThug,Gaming
ShrutiArjunAnand,Beauty
SejalKumar,Beauty
debasreee,Beauty
SuperPrincessjo,Beauty
NishaMadhulika,Food
KabitasKitchen,Food
CookingShooking,Food
SanjeevKapoorKhazana,Food
YourFoodLab,Food
VillageCookingChannel,Food
FitTuber,Fitness
GuruMannFitness,Fitness
RohitKhatriFitness,Fitness
YatinderSingh,Fitness
CarryMinati,Comedy
BBKiVines,Comedy
AshishChanchlani,Comedy
AmitBhadana,Comedy
Round2hell,Comedy
HarshBeniwal,Comedy
PhysicsWallah,Education
CodeWithHarry,Education
ApnaCollege,Education
StudyIQEducation,Education
MagnetBrains,Education
SandeepSeminars,Education
SouravJoshiVlogs,Vlogs
FlyingBeast320,Vlogs
MumbikerNikhil,Vlogs
TSeries,Music
ZeeMusicCompany,Music
SonyMusicIndia,Music
TipsOfficial,Music
SpeedRecords,Music
aajtak,News
NDTV,News
ABPNEWS,News
ZeeNews,News
TheLallantop,News
DhruvRathee,News
PowerDrift,Auto
MotorOctane,Auto
AskCarGuru,Auto
MountainTrekker,Travel
VisaichaSafar,Travel
AssetYogi,Finance
PranjalKamra,Finance
LabourLawAdvisor,Finance
InvestAajForKal,Finance
CACABaljitSinghChadha,Finance
TriggeredInsaan,Reactions
SlayyPointOfficial,Reactions
FukraInsaan,Reactions
Thugesh,Reactions
TanmayBhat,Lifestyle
BeerBiceps,Lifestyle
KomalPandeyOfficial,Fashion
AnushkaHazra,Fashion
