niche_id,niche_name,default_cpm_inr,search_keywords
1,Tech,40,"smartphone review,gadgets,unboxing,technology"
2,Gaming,20,"gameplay,bgmi,free fire,minecraft,gaming"
3,Beauty,25,"makeup,skincare,beauty tips,grwm"
4,Food,25,"recipe,cooking,food,kitchen"
5,Fitness,25,"workout,gym,fitness,diet,bodybuilding"
6,Comedy,15,"comedy,sketch,funny,vines"
7,Education,35,"tutorial,exam prep,physics,maths,study"
8,Lifestyle,15,"lifestyle,daily,minimalism,routine"
9,Music,15,"song,music video,cover,bollywood"
10,Devotional,15,"bhajan,aarti,devotional,bhakti"
11,News,25,"news,current affairs,breaking news"
12,Vlogs,15,"vlog,daily vlog,travel vlog,family"
13,Auto,30,"car review,bike review,automobile,motovlog"
14,DIY,25,"diy,craft,how to make,handmade"
15,Travel,25,"travel,trip,tour,backpacking"
16,Sports,20,"cricket,football,sports analysis,highlights"
17,Finance,80,"stock market,investing,mutual funds,personal finance"
18,Parenting,25,"parenting,kids,baby care,toddler"
19,Fashion,25,"fashion,outfit,styling,ootd"
20,Reactions,15,"reaction,roast,review,commentary"
